block,date,lam_bar,ratio,lam_out,lam_in,val_sharpe
0,2005-01-03,50.0,1.0,50.0,50.0,-0.015043864773285296
1,2005-07-05,10.0,3.0,5.773502691896258,17.32050807568877,0.14944261595617672
2,2006-01-03,250.0,0.1111111111111111,750.0,83.33333333333333,0.5275058403122107
3,2006-07-05,100.0,1.0,100.0,100.0,0.5342503730649889
4,2007-01-04,100.0,0.1111111111111111,300.0,33.33333333333333,0.8667884894514124
5,2007-07-06,75.0,1.0,75.0,75.0,0.8960516268764335
6,2008-01-04,35.0,0.1111111111111111,105.0,11.666666666666666,0.8459489894435468
7,2008-07-07,50.0,1.0,50.0,50.0,0.7259692096019311
8,2009-01-05,100.0,1.0,100.0,100.0,0.5604952320790142
9,2009-07-07,50.0,1.0,50.0,50.0,0.5087745324337324
10,2010-01-05,50.0,1.0,50.0,50.0,0.610151649309212
11,2010-07-07,35.0,0.1111111111111111,105.0,11.666666666666666,0.5825237670431949
12,2011-01-04,35.0,0.1111111111111111,105.0,11.666666666666666,0.6728704957285893
13,2011-07-06,35.0,0.1111111111111111,105.0,11.666666666666666,0.7021633243607182
14,2012-01-04,10.0,1.0,10.0,10.0,0.30236245535085515
15,2012-07-05,150.0,0.1111111111111111,450.0,50.0,0.2640380758937638
16,2013-01-07,150.0,0.1111111111111111,450.0,50.0,0.5748901297308617
17,2013-07-09,150.0,0.1111111111111111,450.0,50.0,0.7070359995349733
18,2014-01-07,600.0,1.0,600.0,600.0,0.8944383619218161
19,2014-07-09,1000.0,1.0,1000.0,1000.0,1.062822090998397
20,2015-01-07,1000.0,1.0,1000.0,1000.0,0.7864525786959187
21,2015-07-09,1000.0,1.0,1000.0,1000.0,0.9339753206596284
22,2016-01-07,1000.0,1.0,1000.0,1000.0,0.6505347850683026
23,2016-07-08,1000.0,1.0,1000.0,1000.0,0.6348258434102032
24,2017-01-06,1000.0,1.0,1000.0,1000.0,0.9541842223282665
25,2017-07-10,1000.0,1.0,1000.0,1000.0,1.0058182100375064
26,2018-01-08,1000.0,1.0,1000.0,1000.0,1.1257824134925742
27,2018-07-10,1000.0,1.0,1000.0,1000.0,0.9036393515114371
28,2019-01-09,1000.0,1.0,1000.0,1000.0,0.5705144496986267
29,2019-07-11,1000.0,1.0,1000.0,1000.0,0.6946733856269196
30,2020-01-09,1000.0,1.0,1000.0,1000.0,0.7473991454933074
31,2020-07-10,1000.0,1.0,1000.0,1000.0,0.5274726397059449
32,2021-01-08,20.0,1.0,20.0,20.0,0.8358595182374109
33,2021-07-12,20.0,1.0,20.0,20.0,1.0125677216178732
34,2022-01-07,10.0,1.0,10.0,10.0,1.0134786413799115
35,2022-07-12,20.0,1.0,20.0,20.0,0.8200198018863404
36,2023-01-10,20.0,1.0,20.0,20.0,0.5062516051420854
37,2023-07-13,35.0,3.0,20.207259421636902,60.6217782649107,0.7591606243934479
38,2024-01-11,35.0,1.0,35.0,35.0,0.8493180858166256
39,2024-07-15,150.0,9.0,50.0,450.0,0.9609958036868509
